id,nombre,descripcion,precio_id,categoria_id,proveedor_id
1,Cargador De Auto Jd C-49 Doble Puerto + Cable Usb C A Usb C 12v 1.5a 60w Carga Rapida Blanco,Cargador para auto con doble puerto y cable USB-C a USB-C incluido,1,10,10
2,Cargador De Auto Jd C-49 Doble Puerto + Cable Usb C A Lightning 12v 1.5a 30w Carga Rapida Blanco,Cargador vehicular con salida dual y cable USB-C a Lightning,2,10,10
3,Cable De Datos Jd D-23 Usb A a Usb C 2.4a Carga Rapida Blanco,Cable USB-A a USB-C para carga rapida color blanco,3,10,1
4,Cable De Datos Jd D-23 Usb A a Usb C 2.4a Carga Rapida Rosa,Cable USB-A a USB-C para carga rapida color rosa,4,10,1
5,Cable De Datos Jd D-23 Usb A a Usb C 2.4a Carga Rapida Negro,Cable USB-A a USB-C para carga rapida color negro,5,10,1
6,Cable Datos Jd D-30 Usb C A Usb C 60w 3a Carga Rapida Blanco,Cable USB-C a USB-C de 60W con carga rapida,6,10,1
7,Parlante Edifier M201BT 2.1,Parlante multimedia 2.1 con conectividad Bluetooth,7,3,5
8,Parlante Edifier D12 Brown Bluetooth 2.0 Canales,Parlante Edifier color brown con audio 2.0 y Bluetooth,8,3,5
9,Funda Ringke Fusion X Samsung S24 Black,Funda reforzada Ringke Fusion X para Samsung S24 color black,9,10,9
10,Funda Ringke Fusion X Design Samsung S24 Camo Black,Funda Ringke Fusion X Design para Samsung S24 camo black,10,10,9
